company_id,category,insight,confidence_pct
ICICIGI,Healthy Cash Flow,Strong operating cash flow while investing for growth and reducing financing obligations.,95
ICICIGI,Cash Rich,Positive operating and overall cash flow indicate healthy liquidity.,92
ICICIPRULI,Operational Weakness,Negative operating cash flow indicates weak core business performance.,95
INDIGO,Healthy Cash Flow,Strong operating cash flow while investing for growth and reducing financing obligations.,95
INDUSINDBK,Operational Weakness,Negative operating cash flow indicates weak core business performance.,95
INDUSINDBK,Cash Burn,Negative operating and net cash flow indicate sustained cash burn.,96
INFY,Healthy Cash Flow,Strong operating cash flow while investing for growth and reducing financing obligations.,95
INFY,Cash Rich,Positive operating and overall cash flow indicate healthy liquidity.,92
IOC,Healthy Cash Flow,Strong operating cash flow while investing for growth and reducing financing obligations.,95
IOC,Cash Rich,Positive operating and overall cash flow indicate healthy liquidity.,92
IRCTC,Healthy Cash Flow,Strong operating cash flow while investing for growth and reducing financing obligations.,95
IRCTC,Cash Rich,Positive operating and overall cash flow indicate healthy liquidity.,92
IRFC,Healthy Cash Flow,Strong operating cash flow while investing for growth and reducing financing obligations.,95
ITC,Cash Rich,Positive operating and overall cash flow indicate healthy liquidity.,92
JINDALSTEL,Growing Business,Business is generating cash and raising capital to support expansion.,90
JIOFIN,Operational Weakness,Negative operating cash flow indicates weak core business performance.,95
JSWENERGY,Growing Business,Business is generating cash and raising capital to support expansion.,90
JSWSTEEL,Healthy Cash Flow,Strong operating cash flow while investing for growth and reducing financing obligations.,95
KOTAKBANK,Growing Business,Business is generating cash and raising capital to support expansion.,90
KOTAKBANK,Cash Rich,Positive operating and overall cash flow indicate healthy liquidity.,92
LICI,Healthy Cash Flow,Strong operating cash flow while investing for growth and reducing financing obligations.,95
LODHA,Growing Business,Business is generating cash and raising capital to support expansion.,90
LODHA,Cash Rich,Positive operating and overall cash flow indicate healthy liquidity.,92
LT,Mixed Cash Flow,Cash flow pattern does not clearly match the predefined categories and requires further analysis.,75
LTIM,Healthy Cash Flow,Strong operating cash flow while investing for growth and reducing financing obligations.,95
M&M,Operational Weakness,Negative operating cash flow indicates weak core business performance.,95
M&M,Heavy Borrowing,Business depends on external financing instead of operations.,94
MARUTI,Healthy Cash Flow,Strong operating cash flow while investing for growth and reducing financing obligations.,95
MARUTI,Cash Rich,Positive operating and overall cash flow indicate healthy liquidity.,92
MOTHERSON,Growing Business,Business is generating cash and raising capital to support expansion.,90
MOTHERSON,Cash Rich,Positive operating and overall cash flow indicate healthy liquidity.,92
NAUKRI,Growing Business,Business is generating cash and raising capital to support expansion.,90
NESTLEIND,Healthy Cash Flow,Strong operating cash flow while investing for growth and reducing financing obligations.,95
NHPC,Healthy Cash Flow,Strong operating cash flow while investing for growth and reducing financing obligations.,95
NHPC,Cash Rich,Positive operating and overall cash flow indicate healthy liquidity.,92
NTPC,Healthy Cash Flow,Strong operating cash flow while investing for growth and reducing financing obligations.,95
NTPC,Cash Rich,Positive operating and overall cash flow indicate healthy liquidity.,92
ONGC,Healthy Cash Flow,Strong operating cash flow while investing for growth and reducing financing obligations.,95
PFC,Operational Weakness,Negative operating cash flow indicates weak core business performance.,95
PFC,Heavy Borrowing,Business depends on external financing instead of operations.,94
PIDILITIND,Healthy Cash Flow,Strong operating cash flow while investing for growth and reducing financing obligations.,95
PIDILITIND,Cash Rich,Positive operating and overall cash flow indicate healthy liquidity.,92
PNB,Operational Weakness,Negative operating cash flow indicates weak core business performance.,95
PNB,Heavy Borrowing,Business depends on external financing instead of operations.,94
PNB,Cash Burn,Negative operating and net cash flow indicate sustained cash burn.,96
POWERGRID,Healthy Cash Flow,Strong operating cash flow while investing for growth and reducing financing obligations.,95
RECLTD,Operational Weakness,Negative operating cash flow indicates weak core business performance.,95
RECLTD,Heavy Borrowing,Business depends on external financing instead of operations.,94
RELIANCE,Healthy Cash Flow,Strong operating cash flow while investing for growth and reducing financing obligations.,95
RELIANCE,Cash Rich,Positive operating and overall cash flow indicate healthy liquidity.,92
SBILIFE,Healthy Cash Flow,Strong operating cash flow while investing for growth and reducing financing obligations.,95
SBIN,Healthy Cash Flow,Strong operating cash flow while investing for growth and reducing financing obligations.,95
SBIN,Cash Rich,Positive operating and overall cash flow indicate healthy liquidity.,92
SHREECEM,Healthy Cash Flow,Strong operating cash flow while investing for growth and reducing financing obligations.,95
SHREECEM,Cash Rich,Positive operating and overall cash flow indicate healthy liquidity.,92
SHRIRAMFIN,Operational Weakness,Negative operating cash flow indicates weak core business performance.,95
SHRIRAMFIN,Heavy Borrowing,Business depends on external financing instead of operations.,94
SHRIRAMFIN,Cash Burn,Negative operating and net cash flow indicate sustained cash burn.,96
SIEMENS,Healthy Cash Flow,Strong operating cash flow while investing for growth and reducing financing obligations.,95
SIEMENS,Cash Rich,Positive operating and overall cash flow indicate healthy liquidity.,92
SUNPHARMA,Healthy Cash Flow,Strong operating cash flow while investing for growth and reducing financing obligations.,95
SUNPHARMA,Cash Rich,Positive operating and overall cash flow indicate healthy liquidity.,92
TATACONSUM,Growing Business,Business is generating cash and raising capital to support expansion.,90
TATACONSUM,Cash Rich,Positive operating and overall cash flow indicate healthy liquidity.,92
TATAMOTORS,Healthy Cash Flow,Strong operating cash flow while investing for growth and reducing financing obligations.,95
TATAMOTORS,Cash Rich,Positive operating and overall cash flow indicate healthy liquidity.,92
TATAPOWER,Healthy Cash Flow,Strong operating cash flow while investing for growth and reducing financing obligations.,95
TATASTEEL,Healthy Cash Flow,Strong operating cash flow while investing for growth and reducing financing obligations.,95
TECHM,Healthy Cash Flow,Strong operating cash flow while investing for growth and reducing financing obligations.,95
TECHM,Cash Rich,Positive operating and overall cash flow indicate healthy liquidity.,92
TITAN,Healthy Cash Flow,Strong operating cash flow while investing for growth and reducing financing obligations.,95
TITAN,Cash Rich,Positive operating and overall cash flow indicate healthy liquidity.,92
TORNTPHARM,Healthy Cash Flow,Strong operating cash flow while investing for growth and reducing financing obligations.,95
TORNTPHARM,Cash Rich,Positive operating and overall cash flow indicate healthy liquidity.,92
TRENT,Healthy Cash Flow,Strong operating cash flow while investing for growth and reducing financing obligations.,95
TRENT,Cash Rich,Positive operating and overall cash flow indicate healthy liquidity.,92
TVSMOTOR,Operational Weakness,Negative operating cash flow indicates weak core business performance.,95
TVSMOTOR,Heavy Borrowing,Business depends on external financing instead of operations.,94
