company_id,type,rule_id,text,confidence_pct
ADANIPORTS,PRO,P11,Healthy dividend yield rewards shareholders.,80
ADANIPORTS,PRO,P12,Excellent overall quality score.,96
ADANIPOWER,PRO,P1,High ROE indicates efficient capital utilization.,95
ADANIPOWER,PRO,P3,Strong profit margins support healthy earnings.,90
ADANIPOWER,PRO,P4,High operating margin reflects operational efficiency.,90
ADANIPOWER,PRO,P6,Comfortable interest coverage reduces financial risk.,92
ADANIPOWER,PRO,P7,Revenue has grown consistently over five years.,92
ADANIPOWER,PRO,P10,Positive free cash flow strengthens future growth.,90
ADANIPOWER,PRO,P11,Healthy dividend yield rewards shareholders.,80
ADANIPOWER,PRO,P12,Excellent overall quality score.,96
AMBUJACEM,PRO,P5,Low debt improves financial stability.,93
AMBUJACEM,PRO,P6,Comfortable interest coverage reduces financial risk.,92
AMBUJACEM,PRO,P11,Healthy dividend yield rewards shareholders.,80
AMBUJACEM,CON,C7,Revenue growth has been weak.,92
AMBUJACEM,CON,C10,Negative free cash flow may constrain future growth.,90
APOLLOHOSP,PRO,P6,Comfortable interest coverage reduces financial risk.,92
APOLLOHOSP,PRO,P8,Profit growth has remained consistently strong.,92
APOLLOHOSP,PRO,P9,EPS growth indicates increasing shareholder value.,92
APOLLOHOSP,PRO,P10,Positive free cash flow strengthens future growth.,90
APOLLOHOSP,PRO,P11,Healthy dividend yield rewards shareholders.,80
APOLLOHOSP,CON,C3,Weak profit margins reduce profitability.,90
ASIANPAINT,PRO,P1,High ROE indicates efficient capital utilization.,95
ASIANPAINT,PRO,P3,Strong profit margins support healthy earnings.,90
ASIANPAINT,PRO,P4,High operating margin reflects operational efficiency.,90
ASIANPAINT,PRO,P5,Low debt improves financial stability.,93
ASIANPAINT,PRO,P6,Comfortable interest coverage reduces financial risk.,92
ASIANPAINT,PRO,P8,Profit growth has remained consistently strong.,92
ASIANPAINT,PRO,P9,EPS growth indicates increasing shareholder value.,92
ASIANPAINT,PRO,P10,Positive free cash flow strengthens future growth.,90
ASIANPAINT,PRO,P11,Healthy dividend yield rewards shareholders.,80
ASIANPAINT,PRO,P12,Excellent overall quality score.,96
BAJAJ-AUTO,PRO,P1,High ROE indicates efficient capital utilization.,95
BAJAJ-AUTO,PRO,P3,Strong profit margins support healthy earnings.,90
BAJAJ-AUTO,PRO,P5,Low debt improves financial stability.,93
BAJAJ-AUTO,PRO,P6,Comfortable interest coverage reduces financial risk.,92
BAJAJ-AUTO,PRO,P10,Positive free cash flow strengthens future growth.,90
BAJAJ-AUTO,PRO,P11,Healthy dividend yield rewards shareholders.,80
BAJAJ-AUTO,PRO,P12,Excellent overall quality score.,96
AXISBANK,PRO,P3,Strong profit margins support healthy earnings.,90
AXISBANK,PRO,P4,High operating margin reflects operational efficiency.,90
AXISBANK,PRO,P8,Profit growth has remained consistently strong.,92
AXISBANK,PRO,P9,EPS growth indicates increasing shareholder value.,92
AXISBANK,PRO,P11,Healthy dividend yield rewards shareholders.,80
AXISBANK,CON,C5,High debt increases financial risk.,93
AXISBANK,CON,C6,Poor interest coverage raises repayment concerns.,92
AXISBANK,CON,C10,Negative free cash flow may constrain future growth.,90
BAJAJFINSV,PRO,P1,High ROE indicates efficient capital utilization.,95
BAJAJFINSV,PRO,P4,High operating margin reflects operational efficiency.,90
BAJAJFINSV,PRO,P7,Revenue has grown consistently over five years.,92
BAJAJFINSV,PRO,P8,Profit growth has remained consistently strong.,92
BAJAJFINSV,PRO,P9,EPS growth indicates increasing shareholder value.,92
BAJAJFINSV,PRO,P11,Healthy dividend yield rewards shareholders.,80
BAJAJFINSV,CON,C5,High debt increases financial risk.,93
BAJAJFINSV,CON,C10,Negative free cash flow may constrain future growth.,90
BAJAJHLDNG,PRO,P3,Strong profit margins support healthy earnings.,90
BAJAJHLDNG,PRO,P4,High operating margin reflects operational efficiency.,90
BAJAJHLDNG,PRO,P5,Low debt improves financial stability.,93
BAJAJHLDNG,PRO,P6,Comfortable interest coverage reduces financial risk.,92
BAJAJHLDNG,PRO,P7,Revenue has grown consistently over five years.,92
BAJAJHLDNG,PRO,P8,Profit growth has remained consistently strong.,92
BAJAJHLDNG,PRO,P9,EPS growth indicates increasing shareholder value.,92
BAJAJHLDNG,PRO,P10,Positive free cash flow strengthens future growth.,90
BAJAJHLDNG,PRO,P11,Healthy dividend yield rewards shareholders.,80
BAJAJHLDNG,PRO,P12,Excellent overall quality score.,96
BAJFINANCE,PRO,P3,Strong profit margins support healthy earnings.,90
BAJFINANCE,PRO,P4,High operating margin reflects operational efficiency.,90
BAJFINANCE,PRO,P6,Comfortable interest coverage reduces financial risk.,92
BAJFINANCE,PRO,P7,Revenue has grown consistently over five years.,92
BAJFINANCE,PRO,P8,Profit growth has remained consistently strong.,92
BAJFINANCE,PRO,P9,EPS growth indicates increasing shareholder value.,92
BAJFINANCE,CON,C5,High debt increases financial risk.,93
BAJFINANCE,CON,C10,Negative free cash flow may constrain future growth.,90
BANKBARODA,PRO,P3,Strong profit margins support healthy earnings.,90
BANKBARODA,PRO,P4,High operating margin reflects operational efficiency.,90
BANKBARODA,PRO,P7,Revenue has grown consistently over five years.,92
BANKBARODA,PRO,P8,Profit growth has remained consistently strong.,92
BANKBARODA,PRO,P9,EPS growth indicates increasing shareholder value.,92
BANKBARODA,PRO,P11,Healthy dividend yield rewards shareholders.,80
BANKBARODA,CON,C5,High debt increases financial risk.,93
BANKBARODA,CON,C6,Poor interest coverage raises repayment concerns.,92
BANKBARODA,CON,C10,Negative free cash flow may constrain future growth.,90
BHARTIARTL,PRO,P4,High operating margin reflects operational efficiency.,90
BHARTIARTL,PRO,P8,Profit growth has remained consistently strong.,92
BHARTIARTL,PRO,P9,EPS growth indicates increasing shareholder value.,92
BHARTIARTL,PRO,P10,Positive free cash flow strengthens future growth.,90
BHARTIARTL,PRO,P11,Healthy dividend yield rewards shareholders.,80
BHARTIARTL,CON,C5,High debt increases financial risk.,93
BEL,PRO,P1,High ROE indicates efficient capital utilization.,95
BEL,PRO,P3,Strong profit margins support healthy earnings.,90
BEL,PRO,P4,High operating margin reflects operational efficiency.,90
BEL,PRO,P6,Comfortable interest coverage reduces financial risk.,92
BEL,PRO,P8,Profit growth has remained consistently strong.,92
BEL,PRO,P12,Excellent overall quality score.,96
BEL,CON,C10,Negative free cash flow may constrain future growth.,90
BHEL,PRO,P5,Low debt improves financial stability.,93
BHEL,PRO,P11,Healthy dividend yield rewards shareholders.,80
BHEL,CON,C1,Low ROE reflects weak capital efficiency.,95
BHEL,CON,C3,Weak profit margins reduce profitability.,90
BHEL,CON,C4,Low operating margin signals operational weakness.,90
BHEL,CON,C6,Poor interest coverage raises repayment concerns.,92
BHEL,CON,C7,Revenue growth has been weak.,92
BHEL,CON,C8,Profit growth has remained weak.,92
BHEL,CON,C9,EPS growth has been limited.,92
BHEL,CON,C10,Negative free cash flow may constrain future growth.,90
BOSCHLTD,PRO,P1,High ROE indicates efficient capital utilization.,95
BOSCHLTD,PRO,P5,Low debt improves financial stability.,93
BOSCHLTD,PRO,P6,Comfortable interest coverage reduces financial risk.,92
BOSCHLTD,PRO,P10,Positive free cash flow strengthens future growth.,90
BOSCHLTD,PRO,P11,Healthy dividend yield rewards shareholders.,80
BPCL,PRO,P1,High ROE indicates efficient capital utilization.,95
BPCL,PRO,P6,Comfortable interest coverage reduces financial risk.,92
BPCL,PRO,P8,Profit growth has remained consistently strong.,92
BPCL,PRO,P9,EPS growth indicates increasing shareholder value.,92
BPCL,PRO,P10,Positive free cash flow strengthens future growth.,90
BPCL,PRO,P11,Healthy dividend yield rewards shareholders.,80
BPCL,CON,C4,Low operating margin signals operational weakness.,90
BRITANNIA,PRO,P1,High ROE indicates efficient capital utilization.,95
BRITANNIA,PRO,P6,Comfortable interest coverage reduces financial risk.,92
BRITANNIA,PRO,P10,Positive free cash flow strengthens future growth.,90
BRITANNIA,PRO,P11,Healthy dividend yield rewards shareholders.,80
CANBK,PRO,P4,High operating margin reflects operational efficiency.,90
CANBK,PRO,P7,Revenue has grown consistently over five years.,92
CANBK,PRO,P8,Profit growth has remained consistently strong.,92
CANBK,PRO,P9,EPS growth indicates increasing shareholder value.,92
CANBK,PRO,P10,Positive free cash flow strengthens future growth.,90
CANBK,PRO,P11,Healthy dividend yield rewards shareholders.,80
CANBK,CON,C5,High debt increases financial risk.,93
CANBK,CON,C6,Poor interest coverage raises repayment concerns.,92
CHOLAFIN,PRO,P3,Strong profit margins support healthy earnings.,90
CHOLAFIN,PRO,P4,High operating margin reflects operational efficiency.,90
CHOLAFIN,PRO,P6,Comfortable interest coverage reduces financial risk.,92
CHOLAFIN,PRO,P7,Revenue has grown consistently over five years.,92
CHOLAFIN,PRO,P8,Profit growth has remained consistently strong.,92
CHOLAFIN,PRO,P9,EPS growth indicates increasing shareholder value.,92
CHOLAFIN,PRO,P11,Healthy dividend yield rewards shareholders.,80
CHOLAFIN,CON,C5,High debt increases financial risk.,93
CHOLAFIN,CON,C10,Negative free cash flow may constrain future growth.,90
CIPLA,PRO,P3,Strong profit margins support healthy earnings.,90
CIPLA,PRO,P4,High operating margin reflects operational efficiency.,90
CIPLA,PRO,P5,Low debt improves financial stability.,93
CIPLA,PRO,P6,Comfortable interest coverage reduces financial risk.,92
CIPLA,PRO,P8,Profit growth has remained consistently strong.,92
CIPLA,PRO,P9,EPS growth indicates increasing shareholder value.,92
CIPLA,PRO,P10,Positive free cash flow strengthens future growth.,90
COALINDIA,PRO,P1,High ROE indicates efficient capital utilization.,95
COALINDIA,PRO,P3,Strong profit margins support healthy earnings.,90
COALINDIA,PRO,P4,High operating margin reflects operational efficiency.,90
COALINDIA,PRO,P5,Low debt improves financial stability.,93
COALINDIA,PRO,P6,Comfortable interest coverage reduces financial risk.,92
COALINDIA,PRO,P8,Profit growth has remained consistently strong.,92
COALINDIA,PRO,P9,EPS growth indicates increasing shareholder value.,92
COALINDIA,PRO,P10,Positive free cash flow strengthens future growth.,90
COALINDIA,PRO,P11,Healthy dividend yield rewards shareholders.,80
COALINDIA,PRO,P12,Excellent overall quality score.,96
DABUR,PRO,P5,Low debt improves financial stability.,93
DABUR,PRO,P6,Comfortable interest coverage reduces financial risk.,92
DABUR,PRO,P10,Positive free cash flow strengthens future growth.,90
DABUR,PRO,P11,Healthy dividend yield rewards shareholders.,80
DABUR,CON,C8,Profit growth has remained weak.,92
DABUR,CON,C9,EPS growth has been limited.,92
DIVISLAB,PRO,P3,Strong profit margins support healthy earnings.,90
DIVISLAB,PRO,P4,High operating margin reflects operational efficiency.,90
DIVISLAB,PRO,P5,Low debt improves financial stability.,93
DIVISLAB,PRO,P6,Comfortable interest coverage reduces financial risk.,92
DIVISLAB,PRO,P10,Positive free cash flow strengthens future growth.,90
DIVISLAB,PRO,P11,Healthy dividend yield rewards shareholders.,80
DIVISLAB,CON,C8,Profit growth has remained weak.,92
DIVISLAB,CON,C9,EPS growth has been limited.,92
DLF,PRO,P3,Strong profit margins support healthy earnings.,90
DLF,PRO,P4,High operating margin reflects operational efficiency.,90
DLF,PRO,P5,Low debt improves financial stability.,93
DLF,PRO,P6,Comfortable interest coverage reduces financial risk.,92
DLF,PRO,P8,Profit growth has remained consistently strong.,92
DLF,PRO,P10,Positive free cash flow strengthens future growth.,90
DLF,PRO,P11,Healthy dividend yield rewards shareholders.,80
DLF,CON,C1,Low ROE reflects weak capital efficiency.,95
DLF,CON,C7,Revenue growth has been weak.,92
DMART,PRO,P5,Low debt improves financial stability.,93
DMART,PRO,P6,Comfortable interest coverage reduces financial risk.,92
DMART,PRO,P7,Revenue has grown consistently over five years.,92
DMART,PRO,P8,Profit growth has remained consistently strong.,92
DMART,PRO,P9,EPS growth indicates increasing shareholder value.,92
DMART,PRO,P10,Positive free cash flow strengthens future growth.,90
DMART,PRO,P11,Healthy dividend yield rewards shareholders.,80
DMART,CON,C3,Weak profit margins reduce profitability.,90
DMART,CON,C4,Low operating margin signals operational weakness.,90
DRREDDY,PRO,P3,Strong profit margins support healthy earnings.,90
DRREDDY,PRO,P4,High operating margin reflects operational efficiency.,90
DRREDDY,PRO,P5,Low debt improves financial stability.,93
DRREDDY,PRO,P6,Comfortable interest coverage reduces financial risk.,92
DRREDDY,PRO,P8,Profit growth has remained consistently strong.,92
DRREDDY,PRO,P9,EPS growth indicates increasing shareholder value.,92
DRREDDY,PRO,P10,Positive free cash flow strengthens future growth.,90
EICHERMOT,PRO,P1,High ROE indicates efficient capital utilization.,95
EICHERMOT,PRO,P3,Strong profit margins support healthy earnings.,90
EICHERMOT,PRO,P4,High operating margin reflects operational efficiency.,90
EICHERMOT,PRO,P5,Low debt improves financial stability.,93
EICHERMOT,PRO,P6,Comfortable interest coverage reduces financial risk.,92
EICHERMOT,PRO,P10,Positive free cash flow strengthens future growth.,90
EICHERMOT,PRO,P11,Healthy dividend yield rewards shareholders.,80
EICHERMOT,PRO,P12,Excellent overall quality score.,96
GAIL,PRO,P5,Low debt improves financial stability.,93
GAIL,PRO,P6,Comfortable interest coverage reduces financial risk.,92
GAIL,PRO,P10,Positive free cash flow strengthens future growth.,90
GODREJCP,PRO,P4,High operating margin reflects operational efficiency.,90
GODREJCP,PRO,P5,Low debt improves financial stability.,93
GODREJCP,PRO,P11,Healthy dividend yield rewards shareholders.,80
GODREJCP,CON,C1,Low ROE reflects weak capital efficiency.,95
GODREJCP,CON,C3,Weak profit margins reduce profitability.,90
GODREJCP,CON,C10,Negative free cash flow may constrain future growth.,90
GRASIM,PRO,P4,High operating margin reflects operational efficiency.,90
GRASIM,PRO,P8,Profit growth has remained consistently strong.,92
GRASIM,PRO,P9,EPS growth indicates increasing shareholder value.,92
GRASIM,CON,C5,High debt increases financial risk.,93
GRASIM,CON,C10,Negative free cash flow may constrain future growth.,90
HAL,PRO,P1,High ROE indicates efficient capital utilization.,95
HAL,PRO,P3,Strong profit margins support healthy earnings.,90
HAL,PRO,P4,High operating margin reflects operational efficiency.,90
HAL,PRO,P6,Comfortable interest coverage reduces financial risk.,92
HAL,PRO,P8,Profit growth has remained consistently strong.,92
HAL,PRO,P9,EPS growth indicates increasing shareholder value.,92
HAL,PRO,P10,Positive free cash flow strengthens future growth.,90
HAL,PRO,P11,Healthy dividend yield rewards shareholders.,80
HAL,PRO,P12,Excellent overall quality score.,96
HAVELLS,PRO,P5,Low debt improves financial stability.,93
HAVELLS,PRO,P6,Comfortable interest coverage reduces financial risk.,92
HAVELLS,PRO,P10,Positive free cash flow strengthens future growth.,90
HAVELLS,PRO,P11,Healthy dividend yield rewards shareholders.,80
HCLTECH,PRO,P1,High ROE indicates efficient capital utilization.,95
HCLTECH,PRO,P4,High operating margin reflects operational efficiency.,90
HCLTECH,PRO,P5,Low debt improves financial stability.,93
HCLTECH,PRO,P6,Comfortable interest coverage reduces financial risk.,92
HCLTECH,PRO,P10,Positive free cash flow strengthens future growth.,90
HCLTECH,PRO,P11,Healthy dividend yield rewards shareholders.,80
HDFCBANK,PRO,P3,Strong profit margins support healthy earnings.,90
HDFCBANK,PRO,P4,High operating margin reflects operational efficiency.,90
HDFCBANK,PRO,P7,Revenue has grown consistently over five years.,92
HDFCBANK,PRO,P8,Profit growth has remained consistently strong.,92
HDFCBANK,PRO,P9,EPS growth indicates increasing shareholder value.,92
HDFCBANK,PRO,P10,Positive free cash flow strengthens future growth.,90
HDFCBANK,PRO,P11,Healthy dividend yield rewards shareholders.,80
HDFCBANK,CON,C5,High debt increases financial risk.,93
HDFCBANK,CON,C6,Poor interest coverage raises repayment concerns.,92
HDFCLIFE,PRO,P4,High operating margin reflects operational efficiency.,90
HDFCLIFE,PRO,P5,Low debt improves financial stability.,93
HDFCLIFE,PRO,P6,Comfortable interest coverage reduces financial risk.,92
HDFCLIFE,PRO,P7,Revenue has grown consistently over five years.,92
HDFCLIFE,PRO,P11,Healthy dividend yield rewards shareholders.,80
HDFCLIFE,CON,C3,Weak profit margins reduce profitability.,90
HDFCLIFE,CON,C8,Profit growth has remained weak.,92
HDFCLIFE,CON,C9,EPS growth has been limited.,92
HDFCLIFE,CON,C10,Negative free cash flow may constrain future growth.,90
HEROMOTOCO,PRO,P1,High ROE indicates efficient capital utilization.,95
HEROMOTOCO,PRO,P4,High operating margin reflects operational efficiency.,90
HEROMOTOCO,PRO,P5,Low debt improves financial stability.,93
HEROMOTOCO,PRO,P6,Comfortable interest coverage reduces financial risk.,92
HEROMOTOCO,PRO,P10,Positive free cash flow strengthens future growth.,90
HEROMOTOCO,PRO,P11,Healthy dividend yield rewards shareholders.,80
HEROMOTOCO,CON,C7,Revenue growth has been weak.,92
HEROMOTOCO,CON,C8,Profit growth has remained weak.,92
HEROMOTOCO,CON,C9,EPS growth has been limited.,92
HINDALCO,PRO,P4,High operating margin reflects operational efficiency.,90
HINDALCO,PRO,P6,Comfortable interest coverage reduces financial risk.,92
HINDALCO,PRO,P10,Positive free cash flow strengthens future growth.,90
HINDALCO,CON,C1,Low ROE reflects weak capital efficiency.,95
HINDALCO,CON,C3,Weak profit margins reduce profitability.,90
HINDUNILVR,PRO,P1,High ROE indicates efficient capital utilization.,95
HINDUNILVR,PRO,P3,Strong profit margins support healthy earnings.,90
HINDUNILVR,PRO,P4,High operating margin reflects operational efficiency.,90
HINDUNILVR,PRO,P5,Low debt improves financial stability.,93
HINDUNILVR,PRO,P6,Comfortable interest coverage reduces financial risk.,92
HINDUNILVR,PRO,P10,Positive free cash flow strengthens future growth.,90
HINDUNILVR,PRO,P11,Healthy dividend yield rewards shareholders.,80
HINDUNILVR,PRO,P12,Excellent overall quality score.,96
ICICIBANK,PRO,P3,Strong profit margins support healthy earnings.,90
ICICIBANK,PRO,P4,High operating margin reflects operational efficiency.,90
ICICIBANK,PRO,P7,Revenue has grown consistently over five years.,92
ICICIBANK,PRO,P8,Profit growth has remained consistently strong.,92
ICICIBANK,PRO,P9,EPS growth indicates increasing shareholder value.,92
ICICIBANK,PRO,P10,Positive free cash flow strengthens future growth.,90
ICICIBANK,PRO,P11,Healthy dividend yield rewards shareholders.,80
ICICIBANK,CON,C5,High debt increases financial risk.,93
ICICIBANK,CON,C6,Poor interest coverage raises repayment concerns.,92
ICICIGI,PRO,P4,High operating margin reflects operational efficiency.,90
ICICIGI,PRO,P5,Low debt improves financial stability.,93
ICICIGI,PRO,P6,Comfortable interest coverage reduces financial risk.,92
ICICIGI,PRO,P10,Positive free cash flow strengthens future growth.,90
ICICIGI,PRO,P11,Healthy dividend yield rewards shareholders.,80
ICICIPRULI,PRO,P4,High operating margin reflects operational efficiency.,90
ICICIPRULI,PRO,P5,Low debt improves financial stability.,93
ICICIPRULI,PRO,P6,Comfortable interest coverage reduces financial risk.,92
ICICIPRULI,PRO,P7,Revenue has grown consistently over five years.,92
ICICIPRULI,PRO,P10,Positive free cash flow strengthens future growth.,90
ICICIPRULI,CON,C1,Low ROE reflects weak capital efficiency.,95
ICICIPRULI,CON,C3,Weak profit margins reduce profitability.,90
ICICIPRULI,CON,C8,Profit growth has remained weak.,92
ICICIPRULI,CON,C9,EPS growth has been limited.,92
INDUSINDBK,PRO,P3,Strong profit margins support healthy earnings.,90
INDUSINDBK,PRO,P4,High operating margin reflects operational efficiency.,90
INDUSINDBK,PRO,P7,Revenue has grown consistently over five years.,92
INDUSINDBK,PRO,P8,Profit growth has remained consistently strong.,92
INDUSINDBK,PRO,P9,EPS growth indicates increasing shareholder value.,92
INDUSINDBK,PRO,P11,Healthy dividend yield rewards shareholders.,80
INDUSINDBK,CON,C5,High debt increases financial risk.,93
INDUSINDBK,CON,C6,Poor interest coverage raises repayment concerns.,92
INDUSINDBK,CON,C10,Negative free cash flow may constrain future growth.,90
INFY,PRO,P1,High ROE indicates efficient capital utilization.,95
INFY,PRO,P3,Strong profit margins support healthy earnings.,90
INFY,PRO,P4,High operating margin reflects operational efficiency.,90
INFY,PRO,P5,Low debt improves financial stability.,93
INFY,PRO,P6,Comfortable interest coverage reduces financial risk.,92
INFY,PRO,P10,Positive free cash flow strengthens future growth.,90
INFY,PRO,P11,Healthy dividend yield rewards shareholders.,80
INFY,PRO,P12,Excellent overall quality score.,96
IOC,PRO,P1,High ROE indicates efficient capital utilization.,95
IOC,PRO,P6,Comfortable interest coverage reduces financial risk.,92
IOC,PRO,P8,Profit growth has remained consistently strong.,92
IOC,PRO,P9,EPS growth indicates increasing shareholder value.,92
IOC,PRO,P10,Positive free cash flow strengthens future growth.,90
IOC,PRO,P11,Healthy dividend yield rewards shareholders.,80
IOC,CON,C4,Low operating margin signals operational weakness.,90
IRCTC,PRO,P1,High ROE indicates efficient capital utilization.,95
IRCTC,PRO,P3,Strong profit margins support healthy earnings.,90
IRCTC,PRO,P4,High operating margin reflects operational efficiency.,90
IRCTC,PRO,P5,Low debt improves financial stability.,93
IRCTC,PRO,P6,Comfortable interest coverage reduces financial risk.,92
IRCTC,PRO,P7,Revenue has grown consistently over five years.,92
IRCTC,PRO,P8,Profit growth has remained consistently strong.,92
IRCTC,PRO,P9,EPS growth indicates increasing shareholder value.,92
IRCTC,PRO,P10,Positive free cash flow strengthens future growth.,90
IRCTC,PRO,P11,Healthy dividend yield rewards shareholders.,80
IRCTC,PRO,P12,Excellent overall quality score.,96
IRFC,PRO,P3,Strong profit margins support healthy earnings.,90
IRFC,PRO,P4,High operating margin reflects operational efficiency.,90
IRFC,PRO,P7,Revenue has grown consistently over five years.,92
IRFC,PRO,P8,Profit growth has remained consistently strong.,92
IRFC,PRO,P9,EPS growth indicates increasing shareholder value.,92
IRFC,PRO,P10,Positive free cash flow strengthens future growth.,90
IRFC,PRO,P11,Healthy dividend yield rewards shareholders.,80
IRFC,CON,C5,High debt increases financial risk.,93
IRFC,CON,C6,Poor interest coverage raises repayment concerns.,92
ITC,PRO,P1,High ROE indicates efficient capital utilization.,95
ITC,PRO,P3,Strong profit margins support healthy earnings.,90
ITC,PRO,P4,High operating margin reflects operational efficiency.,90
ITC,PRO,P5,Low debt improves financial stability.,93
ITC,PRO,P6,Comfortable interest coverage reduces financial risk.,92
ITC,PRO,P10,Positive free cash flow strengthens future growth.,90
ITC,PRO,P11,Healthy dividend yield rewards shareholders.,80
ITC,PRO,P12,Excellent overall quality score.,96
JINDALSTEL,PRO,P4,High operating margin reflects operational efficiency.,90
JINDALSTEL,PRO,P5,Low debt improves financial stability.,93
JINDALSTEL,PRO,P6,Comfortable interest coverage reduces financial risk.,92
JINDALSTEL,PRO,P11,Healthy dividend yield rewards shareholders.,80
JINDALSTEL,CON,C7,Revenue growth has been weak.,92
JINDALSTEL,CON,C10,Negative free cash flow may constrain future growth.,90
JIOFIN,PRO,P3,Strong profit margins support healthy earnings.,90
JIOFIN,PRO,P4,High operating margin reflects operational efficiency.,90
JIOFIN,PRO,P5,Low debt improves financial stability.,93
JIOFIN,PRO,P6,Comfortable interest coverage reduces financial risk.,92
JIOFIN,PRO,P10,Positive free cash flow strengthens future growth.,90
JIOFIN,PRO,P11,Healthy dividend yield rewards shareholders.,80
JIOFIN,CON,C1,Low ROE reflects weak capital efficiency.,95
JSWENERGY,PRO,P3,Strong profit margins support healthy earnings.,90
JSWENERGY,PRO,P4,High operating margin reflects operational efficiency.,90
JSWENERGY,PRO,P8,Profit growth has remained consistently strong.,92
JSWENERGY,PRO,P9,EPS growth indicates increasing shareholder value.,92
JSWENERGY,PRO,P11,Healthy dividend yield rewards shareholders.,80
JSWENERGY,CON,C1,Low ROE reflects weak capital efficiency.,95
JSWENERGY,CON,C5,High debt increases financial risk.,93
JSWENERGY,CON,C7,Revenue growth has been weak.,92
JSWENERGY,CON,C10,Negative free cash flow may constrain future growth.,90
JSWSTEEL,PRO,P7,Revenue has grown consistently over five years.,92
JSWSTEEL,PRO,P11,Healthy dividend yield rewards shareholders.,80
JSWSTEEL,CON,C8,Profit growth has remained weak.,92
JSWSTEEL,CON,C9,EPS growth has been limited.,92
JSWSTEEL,CON,C10,Negative free cash flow may constrain future growth.,90
KOTAKBANK,PRO,P3,Strong profit margins support healthy earnings.,90
KOTAKBANK,PRO,P4,High operating margin reflects operational efficiency.,90
KOTAKBANK,PRO,P8,Profit growth has remained consistently strong.,92
KOTAKBANK,PRO,P9,EPS growth indicates increasing shareholder value.,92
KOTAKBANK,PRO,P10,Positive free cash flow strengthens future growth.,90
KOTAKBANK,PRO,P11,Healthy dividend yield rewards shareholders.,80
KOTAKBANK,CON,C5,High debt increases financial risk.,93
KOTAKBANK,CON,C6,Poor interest coverage raises repayment concerns.,92
LICI,PRO,P1,High ROE indicates efficient capital utilization.,95
LICI,PRO,P5,Low debt improves financial stability.,93
LICI,PRO,P6,Comfortable interest coverage reduces financial risk.,92
LICI,PRO,P8,Profit growth has remained consistently strong.,92
LICI,PRO,P10,Positive free cash flow strengthens future growth.,90
LICI,PRO,P11,Healthy dividend yield rewards shareholders.,80
LICI,CON,C3,Weak profit margins reduce profitability.,90
LICI,CON,C4,Low operating margin signals operational weakness.,90
LODHA,PRO,P3,Strong profit margins support healthy earnings.,90
LODHA,PRO,P4,High operating margin reflects operational efficiency.,90
LODHA,PRO,P5,Low debt improves financial stability.,93
LODHA,PRO,P6,Comfortable interest coverage reduces financial risk.,92
LODHA,PRO,P11,Healthy dividend yield rewards shareholders.,80
LODHA,CON,C1,Low ROE reflects weak capital efficiency.,95
LODHA,CON,C7,Revenue growth has been weak.,92
LODHA,CON,C8,Profit growth has remained weak.,92
LODHA,CON,C9,EPS growth has been limited.,92
LODHA,CON,C10,Negative free cash flow may constrain future growth.,90
LT,PRO,P1,High ROE indicates efficient capital utilization.,95
LT,PRO,P5,Low debt improves financial stability.,93
LT,PRO,P10,Positive free cash flow strengthens future growth.,90
